end_code,country_code,domaincat_desc,statisticcat_desc,location_desc,zip_5,source_desc,state_ansi,week_ending,prodn_practice_desc,county_code,congr_district_code,CV (%),year,Value,group_desc,country_name,class_desc,domain_desc,util_practice_desc,asd_desc,watershed_desc,agg_level_desc,county_name,county_ansi,state_alpha,state_name,load_time,commodity_desc,region_desc,freq_desc,unit_desc,state_fips_code,watershed_code,short_desc,begin_code,sector_desc,asd_code,reference_period_desc
ALL PRODUCTION PRACTICES,101,,,00,9000,NOT SPECIFIED,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SUTTER",,SURVEY,,06,TOTAL,GRAIN,2012,220.7,FIELD CROPS,UNITED STATES,ALL CLASSES,COUNTY,SUTTER,101,CA,SACRAMENTO VALLEY,,ANNUAL,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,50,YEAR,00,CALIFORNIA,2015-06-03 15:08:31.000,CORN,
TOTAL,GRAIN,229.1,2011,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,,101,,9000,00,NOT SPECIFIED,,"CALIFORNIA, SACRAMENTO VALLEY, SUTTER",YIELD,,06,SURVEY,ANNUAL,00000000,BU / ACRE,06,50,CROPS,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2015-06-03 15:08:31.000,CALIFORNIA,,CORN,COUNTY,CA,101,SUTTER,SACRAMENTO VALLEY,
GRAIN,TOTAL,UNITED STATES,ALL CLASSES,200,2010,FIELD CROPS,,ALL PRODUCTION PRACTICES,,101,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SUTTER",,06,SURVEY,9000,00,NOT SPECIFIED,00000000,06,BU / ACRE,00,50,YEAR,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,2015-06-03 15:08:31.000,CALIFORNIA,,CORN,101,CA,SUTTER,COUNTY,,SACRAMENTO VALLEY
SACRAMENTO VALLEY,,COUNTY,CA,103,TEHAMA,,CORN,CALIFORNIA,2015-06-03 15:08:31.000,ANNUAL,00,50,CROPS,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,BU / ACRE,06,NOT SPECIFIED,9000,00,,06,SURVEY,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, TEHAMA",,103,ALL PRODUCTION PRACTICES,,FIELD CROPS,223.3,2010,ALL CLASSES,UNITED STATES,TOTAL,GRAIN
,ALL PRODUCTION PRACTICES,113,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, YOLO",,SURVEY,06,,00,9000,NOT SPECIFIED,GRAIN,TOTAL,UNITED STATES,ALL CLASSES,2019,194.8,FIELD CROPS,YOLO,CA,113,COUNTY,,SACRAMENTO VALLEY,06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,50,CROPS,00,ANNUAL,2021-02-25 15:10:17.000,CALIFORNIA,CORN,
UNITED STATES,ALL CLASSES,2018,196.7,FIELD CROPS,GRAIN,TOTAL,"CALIFORNIA, SACRAMENTO VALLEY, YOLO",YIELD,,SURVEY,,06,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,113,,2019-03-21 15:00:18.000,CALIFORNIA,CORN,,06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,CROPS,00,YEAR,ANNUAL,,SACRAMENTO VALLEY,YOLO,CA,113,COUNTY
2017-02-23 15:00:08.000,CALIFORNIA,,CORN,00000000,BU / ACRE,06,50,CROPS,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,SACRAMENTO VALLEY,113,CA,YOLO,COUNTY,UNITED STATES,ALL CLASSES,210,2016,FIELD CROPS,GRAIN,TOTAL,,"CALIFORNIA, SACRAMENTO VALLEY, YOLO",YIELD,06,,SURVEY,9000,00,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,,113
SURVEY,06,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, YOLO",,NOT SPECIFIED,00,9000,,113,,ALL PRODUCTION PRACTICES,ALL CLASSES,UNITED STATES,FIELD CROPS,2015,140.7,GRAIN,TOTAL,,SACRAMENTO VALLEY,YOLO,CA,113,COUNTY,CORN,,2017-02-23 15:00:08.000,CALIFORNIA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,50,YEAR,CROPS,BU / ACRE,06,00000000,ANNUAL
113,,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,00,9000,SURVEY,,06,"CALIFORNIA, SACRAMENTO VALLEY, YOLO",YIELD,,TOTAL,GRAIN,FIELD CROPS,2013,205.5,ALL CLASSES,UNITED STATES,COUNTY,YOLO,113,CA,SACRAMENTO VALLEY,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,50,00,YEAR,BU / ACRE,06,00000000,CORN,,2015-02-19 15:38:52.000,CALIFORNIA
06,,SURVEY,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, YOLO",NOT SPECIFIED,9000,00,,,113,ALL PRODUCTION PRACTICES,ALL CLASSES,UNITED STATES,FIELD CROPS,161.6,2012,GRAIN,TOTAL,,SACRAMENTO VALLEY,113,CA,YOLO,COUNTY,,CORN,CALIFORNIA,2015-06-03 15:08:31.000,50,CROPS,YEAR,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,BU / ACRE,06,ANNUAL
YOLO,CA,113,COUNTY,,SACRAMENTO VALLEY,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,50,00,YEAR,ANNUAL,2015-06-03 15:08:31.000,CALIFORNIA,CORN,,,ALL PRODUCTION PRACTICES,113,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, YOLO",,SURVEY,,06,00,9000,NOT SPECIFIED,GRAIN,TOTAL,UNITED STATES,ALL CLASSES,2011,169.4,FIELD CROPS
COUNTY,YOLO,113,CA,SACRAMENTO VALLEY,,ANNUAL,06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,50,CROPS,YEAR,CALIFORNIA,2015-06-03 15:08:31.000,CORN,,ALL PRODUCTION PRACTICES,113,,,00,9000,NOT SPECIFIED,"CALIFORNIA, SACRAMENTO VALLEY, YOLO",YIELD,,SURVEY,,06,TOTAL,GRAIN,2010,203.4,FIELD CROPS,UNITED STATES,ALL CLASSES
,CA,OTHER (COMBINED) COUNTIES,COUNTY,,SAN JOAQUIN VALLEY,CROPS,51,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,ANNUAL,,CORN,CALIFORNIA,2021-02-25 15:10:17.000,,,998,ALL PRODUCTION PRACTICES,,06,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, OTHER (COMBINED) COUNTIES",YIELD,NOT SPECIFIED,9000,00,GRAIN,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,183.3,2019
OTHER (COMBINED) COUNTIES,,CA,COUNTY,,SAN JOAQUIN VALLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,00,51,YEAR,BU / ACRE,06,00000000,ANNUAL,CORN,,2019-03-21 15:00:18.000,CALIFORNIA,,998,,ALL PRODUCTION PRACTICES,SURVEY,06,,"CALIFORNIA, SAN JOAQUIN VALLEY, OTHER (COMBINED) COUNTIES",YIELD,,NOT SPECIFIED,00,9000,GRAIN,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2018,194.1
,SAN JOAQUIN VALLEY,CA,,OTHER (COMBINED) COUNTIES,COUNTY,CALIFORNIA,2018-02-22 15:08:35.000,,CORN,00000000,06,BU / ACRE,YEAR,CROPS,51,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, OTHER (COMBINED) COUNTIES",06,,SURVEY,9000,00,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,,998,UNITED STATES,ALL CLASSES,176.1,2017,FIELD CROPS,GRAIN,TOTAL
TOTAL,GRAIN,168.4,2016,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,,998,,9000,00,NOT SPECIFIED,,"CALIFORNIA, SAN JOAQUIN VALLEY, OTHER (COMBINED) COUNTIES",YIELD,,06,SURVEY,ANNUAL,00000000,BU / ACRE,06,00,CROPS,51,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CALIFORNIA,2017-02-23 15:00:08.000,,CORN,COUNTY,,CA,OTHER (COMBINED) COUNTIES,SAN JOAQUIN VALLEY,
GRAIN,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,181,2015,,,998,ALL PRODUCTION PRACTICES,06,,SURVEY,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, OTHER (COMBINED) COUNTIES",NOT SPECIFIED,9000,00,CROPS,51,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,ANNUAL,,CORN,CALIFORNIA,2017-02-23 15:00:08.000,,CA,OTHER (COMBINED) COUNTIES,COUNTY,,SAN JOAQUIN VALLEY
,CORN,2015-02-19 15:38:52.000,CALIFORNIA,51,CROPS,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,ANNUAL,,SAN JOAQUIN VALLEY,CA,,OTHER (COMBINED) COUNTIES,COUNTY,ALL CLASSES,UNITED STATES,FIELD CROPS,159,2014,GRAIN,TOTAL,06,,SURVEY,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, OTHER (COMBINED) COUNTIES",NOT SPECIFIED,9000,00,,,998,ALL PRODUCTION PRACTICES
FIELD CROPS,174.6,2013,ALL CLASSES,UNITED STATES,TOTAL,GRAIN,NOT SPECIFIED,9000,00,,06,SURVEY,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, OTHER (COMBINED) COUNTIES",,998,ALL PRODUCTION PRACTICES,,,CORN,CALIFORNIA,2015-02-19 15:38:52.000,ANNUAL,00,51,CROPS,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,SAN JOAQUIN VALLEY,,COUNTY,,CA,OTHER (COMBINED) COUNTIES
9000,00,NOT SPECIFIED,,"CALIFORNIA, SAN JOAQUIN VALLEY, OTHER (COMBINED) COUNTIES",YIELD,,06,SURVEY,ALL PRODUCTION PRACTICES,,998,,229.6,2012,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,GRAIN,SAN JOAQUIN VALLEY,,COUNTY,CA,,OTHER (COMBINED) COUNTIES,2015-06-03 15:08:31.000,CALIFORNIA,,CORN,ANNUAL,00000000,06,BU / ACRE,YEAR,CROPS,00,51,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
TOTAL,GRAIN,FIELD CROPS,170.8,2011,ALL CLASSES,UNITED STATES,,998,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,9000,00,,06,SURVEY,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, OTHER (COMBINED) COUNTIES",ANNUAL,00,51,CROPS,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,,CORN,2015-06-03 15:08:31.000,CALIFORNIA,COUNTY,CA,,OTHER (COMBINED) COUNTIES,SAN JOAQUIN VALLEY,
,SAN JOAQUIN VALLEY,CA,,OTHER (COMBINED) COUNTIES,COUNTY,2015-06-03 15:08:31.000,CALIFORNIA,,CORN,00000000,BU / ACRE,06,51,CROPS,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,"CALIFORNIA, SAN JOAQUIN VALLEY, OTHER (COMBINED) COUNTIES",YIELD,,06,SURVEY,9000,00,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,,998,UNITED STATES,ALL CLASSES,189.1,2010,FIELD CROPS,GRAIN,TOTAL
GRAIN,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2016,166,,019,,ALL PRODUCTION PRACTICES,SURVEY,,06,"CALIFORNIA, SAN JOAQUIN VALLEY, FRESNO",YIELD,,NOT SPECIFIED,00,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,51,YEAR,00,06,BU / ACRE,00000000,ANNUAL,CORN,,2017-02-23 15:00:08.000,CALIFORNIA,FRESNO,019,CA,COUNTY,,SAN JOAQUIN VALLEY
019,CA,FRESNO,COUNTY,,SAN JOAQUIN VALLEY,00000000,06,BU / ACRE,CROPS,51,YEAR,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,2015-06-03 15:08:31.000,CALIFORNIA,,CORN,,ALL PRODUCTION PRACTICES,,019,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, FRESNO",06,,SURVEY,9000,00,NOT SPECIFIED,GRAIN,TOTAL,UNITED STATES,ALL CLASSES,137.5,2011,FIELD CROPS
GRAIN,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2021,161,17.10,029,,ALL PRODUCTION PRACTICES,SURVEY,,06,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",,NOT SPECIFIED,00,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,51,YEAR,CROPS,06,BU / ACRE,00000000,ANNUAL,CORN,,CALIFORNIA,2023-02-24 15:00:00.000,KERN,029,CA,COUNTY,,SAN JOAQUIN VALLEY
COUNTY,KERN,029,CA,SAN JOAQUIN VALLEY,,ANNUAL,06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",51,00,CROPS,YEAR,2017-02-23 15:00:08.000,CALIFORNIA,CORN,,ALL PRODUCTION PRACTICES,029,,,00,9000,NOT SPECIFIED,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,,SURVEY,06,,TOTAL,GRAIN,2016,156.8,FIELD CROPS,UNITED STATES,ALL CLASSES
,SAN JOAQUIN VALLEY,KERN,029,CA,COUNTY,CALIFORNIA,2017-02-23 15:00:08.000,CORN,,06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,51,00,YEAR,ANNUAL,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",,SURVEY,,06,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,029,,UNITED STATES,ALL CLASSES,2015,122.2,FIELD CROPS,GRAIN,TOTAL
SAN JOAQUIN VALLEY,,COUNTY,KERN,029,CA,CORN,,CALIFORNIA,2015-06-03 15:08:31.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,CROPS,51,YEAR,06,BU / ACRE,00000000,NOT SPECIFIED,00,9000,SURVEY,06,,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,,029,,ALL PRODUCTION PRACTICES,,FIELD CROPS,2012,99,ALL CLASSES,UNITED STATES,TOTAL,GRAIN
KINGS,CA,031,COUNTY,,SAN JOAQUIN VALLEY,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,51,00,CROPS,ANNUAL,2015-02-19 15:38:52.000,CALIFORNIA,CORN,,,ALL PRODUCTION PRACTICES,031,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",,SURVEY,06,,00,9000,NOT SPECIFIED,GRAIN,TOTAL,UNITED STATES,ALL CLASSES,2013,217.5,FIELD CROPS
ALL PRODUCTION PRACTICES,031,,,00,9000,NOT SPECIFIED,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",YIELD,,SURVEY,06,,TOTAL,GRAIN,2012,156.6,FIELD CROPS,UNITED STATES,ALL CLASSES,COUNTY,KINGS,CA,031,SAN JOAQUIN VALLEY,,ANNUAL,06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,51,00,YEAR,2015-06-03 15:08:31.000,CALIFORNIA,CORN,
031,CA,KINGS,COUNTY,,SAN JOAQUIN VALLEY,51,CROPS,YEAR,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,BU / ACRE,06,ANNUAL,,CORN,CALIFORNIA,2015-06-03 15:08:31.000,,,031,ALL PRODUCTION PRACTICES,06,,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",YIELD,NOT SPECIFIED,9000,00,GRAIN,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,227.8,2011
TOTAL,GRAIN,FIELD CROPS,113.3,2016,ALL CLASSES,UNITED STATES,,047,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,9000,00,,06,SURVEY,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",ANNUAL,CROPS,00,51,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,BU / ACRE,06,,CORN,CALIFORNIA,2017-02-23 15:00:08.000,COUNTY,CA,047,MERCED,SAN JOAQUIN VALLEY,
00,9000,NOT SPECIFIED,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",YIELD,,SURVEY,06,,ALL PRODUCTION PRACTICES,047,,,2015,146.4,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,GRAIN,SAN JOAQUIN VALLEY,,COUNTY,MERCED,047,CA,CALIFORNIA,2017-02-23 15:00:08.000,CORN,,ANNUAL,06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,51,00,YEAR
ALL PRODUCTION PRACTICES,047,,,00,9000,NOT SPECIFIED,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",,SURVEY,06,,TOTAL,GRAIN,2013,193.1,FIELD CROPS,UNITED STATES,ALL CLASSES,COUNTY,MERCED,047,CA,SAN JOAQUIN VALLEY,,ANNUAL,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",51,00,YEAR,CROPS,2015-02-19 15:38:52.000,CALIFORNIA,CORN,
,CORN,CALIFORNIA,2015-06-03 15:08:31.000,ANNUAL,51,00,YEAR,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,SAN JOAQUIN VALLEY,,COUNTY,047,CA,MERCED,FIELD CROPS,195.7,2012,ALL CLASSES,UNITED STATES,TOTAL,GRAIN,NOT SPECIFIED,9000,00,06,,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",YIELD,,047,ALL PRODUCTION PRACTICES,
ALL PRODUCTION PRACTICES,,047,,9000,00,NOT SPECIFIED,,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",YIELD,,06,SURVEY,TOTAL,GRAIN,188.9,2011,FIELD CROPS,UNITED STATES,ALL CLASSES,COUNTY,CA,047,MERCED,SAN JOAQUIN VALLEY,,ANNUAL,00000000,06,BU / ACRE,YEAR,CROPS,51,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2015-06-03 15:08:31.000,CALIFORNIA,,CORN
,CORN,CALIFORNIA,2023-02-24 15:00:00.000,ANNUAL,00,CROPS,YEAR,51,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,SAN JOAQUIN VALLEY,,COUNTY,CA,077,SAN JOAQUIN,FIELD CROPS,220.5,2021,ALL CLASSES,UNITED STATES,TOTAL,GRAIN,NOT SPECIFIED,9000,00,06,,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",YIELD,,077,ALL PRODUCTION PRACTICES,03.60
CORN,,CALIFORNIA,2019-03-21 15:00:18.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",51,CROPS,00,YEAR,BU / ACRE,06,00000000,SAN JOAQUIN VALLEY,,COUNTY,SAN JOAQUIN,077,CA,FIELD CROPS,2018,138.9,ALL CLASSES,UNITED STATES,TOTAL,GRAIN,NOT SPECIFIED,00,9000,SURVEY,06,,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",YIELD,,077,,ALL PRODUCTION PRACTICES,
ALL CLASSES,UNITED STATES,FIELD CROPS,170.3,2017,GRAIN,TOTAL,,06,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",YIELD,NOT SPECIFIED,9000,00,,,077,ALL PRODUCTION PRACTICES,,CORN,2018-02-22 15:08:35.000,CALIFORNIA,YEAR,CROPS,51,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,ANNUAL,,SAN JOAQUIN VALLEY,077,CA,SAN JOAQUIN,COUNTY
SAN JOAQUIN,077,CA,COUNTY,,SAN JOAQUIN VALLEY,06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,CROPS,51,YEAR,ANNUAL,2017-02-23 15:00:08.000,CALIFORNIA,CORN,,,ALL PRODUCTION PRACTICES,077,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",,SURVEY,,06,00,9000,NOT SPECIFIED,GRAIN,TOTAL,UNITED STATES,ALL CLASSES,2016,181.2,FIELD CROPS
2015,157.7,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,GRAIN,00,9000,NOT SPECIFIED,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",YIELD,,SURVEY,06,,ALL PRODUCTION PRACTICES,077,,,CALIFORNIA,2017-02-23 15:00:08.000,CORN,,ANNUAL,06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,51,YEAR,CROPS,SAN JOAQUIN VALLEY,,COUNTY,SAN JOAQUIN,077,CA
FIELD CROPS,2013,183.1,ALL CLASSES,UNITED STATES,TOTAL,GRAIN,NOT SPECIFIED,00,9000,SURVEY,,06,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",YIELD,,077,,ALL PRODUCTION PRACTICES,,CORN,,2015-02-19 15:38:52.000,CALIFORNIA,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",51,00,CROPS,YEAR,BU / ACRE,06,00000000,SAN JOAQUIN VALLEY,,COUNTY,SAN JOAQUIN,077,CA
,SAN JOAQUIN VALLEY,077,CA,SAN JOAQUIN,COUNTY,,CORN,CALIFORNIA,2015-06-03 15:08:31.000,CROPS,00,YEAR,51,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,BU / ACRE,06,ANNUAL,,06,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",YIELD,NOT SPECIFIED,9000,00,,,077,ALL PRODUCTION PRACTICES,ALL CLASSES,UNITED STATES,FIELD CROPS,169.4,2012,GRAIN,TOTAL
CALIFORNIA,2015-06-03 15:08:31.000,CORN,,ANNUAL,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,51,CROPS,YEAR,SAN JOAQUIN VALLEY,,COUNTY,SAN JOAQUIN,077,CA,2011,178.1,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,GRAIN,00,9000,NOT SPECIFIED,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",,SURVEY,,06,ALL PRODUCTION PRACTICES,077,,
COUNTY,SAN JOAQUIN,CA,077,SAN JOAQUIN VALLEY,,ANNUAL,06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",51,CROPS,00,YEAR,2015-06-03 15:08:31.000,CALIFORNIA,CORN,,ALL PRODUCTION PRACTICES,077,,,00,9000,NOT SPECIFIED,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",YIELD,,SURVEY,06,,TOTAL,GRAIN,2010,190.4,FIELD CROPS,UNITED STATES,ALL CLASSES
,099,,ALL PRODUCTION PRACTICES,SURVEY,,06,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",YIELD,,NOT SPECIFIED,00,9000,GRAIN,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2018,150,STANISLAUS,099,CA,COUNTY,,SAN JOAQUIN VALLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,00,YEAR,51,BU / ACRE,06,00000000,ANNUAL,CORN,,2019-03-21 15:00:18.000,CALIFORNIA
ANNUAL,00,CROPS,51,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,,CORN,2015-02-19 15:38:52.000,CALIFORNIA,COUNTY,CA,099,STANISLAUS,SAN JOAQUIN VALLEY,,TOTAL,GRAIN,FIELD CROPS,125,2014,ALL CLASSES,UNITED STATES,,099,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,9000,00,06,,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",YIELD
CA,099,STANISLAUS,COUNTY,,SAN JOAQUIN VALLEY,00000000,BU / ACRE,06,CROPS,51,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,CALIFORNIA,2015-06-03 15:08:31.000,,CORN,,ALL PRODUCTION PRACTICES,,099,,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",YIELD,,06,SURVEY,9000,00,NOT SPECIFIED,GRAIN,TOTAL,UNITED STATES,ALL CLASSES,131.3,2012,FIELD CROPS
,CORN,2015-06-03 15:08:31.000,CALIFORNIA,ANNUAL,00,51,YEAR,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,BU / ACRE,06,SAN JOAQUIN VALLEY,,COUNTY,CA,099,STANISLAUS,FIELD CROPS,126.5,2011,ALL CLASSES,UNITED STATES,TOTAL,GRAIN,NOT SPECIFIED,9000,00,06,,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",YIELD,,099,ALL PRODUCTION PRACTICES,
TOTAL,GRAIN,FIELD CROPS,2013,228.2,ALL CLASSES,UNITED STATES,107,,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,00,9000,SURVEY,,06,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",YIELD,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,51,YEAR,00,06,BU / ACRE,00000000,CORN,,CALIFORNIA,2015-02-19 15:38:52.000,COUNTY,TULARE,CA,107,SAN JOAQUIN VALLEY,
,,107,ALL PRODUCTION PRACTICES,06,,SURVEY,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",NOT SPECIFIED,9000,00,GRAIN,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,232.3,2012,107,CA,TULARE,COUNTY,,SAN JOAQUIN VALLEY,00,51,CROPS,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,BU / ACRE,06,ANNUAL,,CORN,2015-06-03 15:08:31.000,CALIFORNIA
06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,51,CROPS,YEAR,ANNUAL,CALIFORNIA,2015-06-03 15:08:31.000,CORN,,TULARE,107,CA,COUNTY,,SAN JOAQUIN VALLEY,GRAIN,TOTAL,UNITED STATES,ALL CLASSES,2011,224.4,FIELD CROPS,,ALL PRODUCTION PRACTICES,107,,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",YIELD,,SURVEY,06,,00,9000,NOT SPECIFIED
